property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
Carbon (C) - organic,OrgC_wc-cro3-walkleyblack,g/kg,0,1000
Carbon (C) - total,TotC_calcul-ic-oc,g/kg,0,1000
Carbon (C) - total,TotC_dc-ht,g/kg,0,1000
Carbon (C) - total,TotC_dc-ht-analyser,g/kg,0,1000
Carbon (C) - total,TotC_dc-ht-spec,g/kg,0,1000
Carbon (C) - total,TotC_dc-mt,g/kg,0,1000
carbonInorganicProperty,InOrgC_calcul-caco3,g/kg,0,1000
carbonInorganicProperty,InOrgC_calcul-tc-oc,g/kg,0,1000
Clay texture fraction,SaSiCl_2-20-2000u,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-adj100,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp-beaker,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp-hydrometer,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp-hydrometer-bouy,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp-laser,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp-pipette,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-disp-spec,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-fld,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-nodisp,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-nodisp-hydrometer,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-nodisp-hydrometer-bouy,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-nodisp-laser,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-nodisp-pipette,%,0,100
Clay texture fraction,SaSiCl_2-20-2000u-nodisp-spec,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-adj100,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp-beaker,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp-hydrometer,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp-hydrometer-bouy,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp-laser,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp-pipette,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-disp-spec,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-fld,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-nodisp,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-nodisp-hydrometer,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-nodisp-hydrometer-bouy,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-nodisp-laser,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-nodisp-pipette,%,0,100
Clay texture fraction,SaSiCl_2-50-2000u-nodisp-spec,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-adj100,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-disp,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-disp-beaker,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-disp-hydrometer,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-disp-hydrometer-bouy,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-disp-laser,%,0,100
Clay texture fraction,SaSiCl_2-64-2000u-disp-pipette,%,0,100
