property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max,definition,citation,reference
aluminiumProperty,Total_tp10,%,0,100,"Colorimetric, unspecified extract","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_unkn,%,0,100,Unspecified method,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_xrd,%,0,100,XRD,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_xrf,%,0,100,XRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_xrf-p,%,0,100,PXRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_xtf-t,%,0,100,TXRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc100wp,m³/100 m³,0,100,"Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 100 cm (pF 2.0)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc200wp,m³/100 m³,0,100,"Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 200 cm (pF 2.3)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc300wp,m³/100 m³,0,100,"Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 300 cm (pF 2.5)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Base saturation - calculated,BSat_calcul-cec,%,0,100,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of CEC (method specified with CEC and ExchBases)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Base saturation - calculated,BSat_calcul-ecec,%,0,100,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of EffCEC (method specified with EffCEC and ExchBases)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_ap14,%,0,100,Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.,Saunders and Metelerkamp,
Boron (B) - extractable,Extr_ap15,%,0,100,Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.,"Hunter, A. 1975. New techniques and equipment for routine soil/plant analytical procedures. In: Soil Management in Tropical America. (eds E. Borremiza & A. Alvarado). N.C. State University, Raleigh, NC.",
Boron (B) - extractable,Extr_ap20,%,0,100,Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_ap21,%,0,100,Olsen (if pH > 7) resp. Mehlich (if pH < 7). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_c6h8o7-reeuwijk,%,0,100,Complexation with citric acid (van Reeuwijk). Particularly used for available P.,,https://www.isric.org/documents/document-type/technical-paper-09-procedures-soil-analysis-6th-edition
Boron (B) - extractable,Extr_cacl2,%,0,100,CaCl2. Particularly used for soluble P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_capo4,%,0,100,Ca phosphate. Particularly used for available S.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_dtpa,%,0,100,DiethyneleTriaminePentaAcetic acid (DTPA) method,,https://doi.org/10.2136/sssaj1978.03615995004200030009x
Boron (B) - extractable,Extr_edta,%,0,100,EthyleneDiamineTetraAcetic acid (EDTA) method,,https://journals.lww.com/soilsci/Citation/1954/10000/SOIL_AND_PLANT_STUDIES_WITH_CHELATES_OF.8.aspx
Boron (B) - extractable,Extr_h2so4-truog,%,0,100,Method of Truog (dilute H2SO4). Particularly used for available P.,,https://doi.org/10.2134/agronj1930.00021962002200100008x
Boron (B) - extractable,Extr_hcl-h2so4-nelson,%,0,100,Method of Nelson (dilute HCl/H2SO4). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_hcl-nh4f-bray1,%,0,100,Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Boron (B) - extractable,Extr_hcl-nh4f-bray2,%,0,100,Method of Bray II (dilute HCl/NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Boron (B) - extractable,Extr_hcl-nh4f-kurtz-bray,%,0,100,Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Boron (B) - extractable,Extr_hno3,%,0,100,Nitric acid (HNO3) method,"ISO. ISO/DIS 17586 Soil Quality - Extraction of Trace Elements Using Dilute Nitric Acid, 2016; p 14",https://www.iso.org/standard/60060.html
Boron (B) - extractable,Extr_hotwater,%,0,100,Hot water. Particularly used for available B,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Boron (B) - extractable,Extr_m1,%,0,100,Mehlich1 method,,https://www.ncagr.gov/AGRONOMI/pdffiles/mehlich53.pdf
Boron (B) - extractable,Extr_m2,%,0,100,Mehlich2 method,,https://doi.org/10.1080/00103627609366673
